ID,IBM,DATA,Status Atual
430,370,27/4/2017,PRODUTIVO
30598,647,22/7/2020,SUSPENSO
8122,2992,8/1/2018,PRODUTIVO
6925,4022,25/11/2017,PRODUTIVO
4707,4359,15/9/2017,PRODUTIVO
6637,4537,14/11/2017,DESATIVADO
6209,4910,26/10/2017,PRODUTIVO
4346,5703,5/9/2017,PRODUTIVO
2345,5860,28/7/2017,PRODUTIVO
32750,6181,4/11/2020,PRODUTIVO
29750,6220,19/6/2020,PRODUTIVO
2829,7056,7/8/2017,PRODUTIVO
7197,7978,5/12/2017,PRODUTIVO
3723,8630,24/8/2017,PRODUTIVO
1105,9334,29/6/2017,PRODUTIVO
8382,12289,11/1/2018,PRODUTIVO
6347,12858,1/11/2017,PRODUTIVO
1965,12904,26/7/2017,PRODUTIVO
13702,13102,1/8/2018,PRODUTIVO
30414,16187,14/7/2020,PRODUTIVO
3724,16420,23/8/2017,DESATIVADO
9024,17906,29/1/2018,PRODUTIVO
1109,18694,29/6/2017,PRODUTIVO
1941,20192,25/7/2017,PRODUTIVO
6441,21644,8/11/2017,PRODUTIVO
6344,22179,1/11/2017,PRODUTIVO
32327,23647,6/10/2020,PRODUTIVO
4704,23787,15/9/2017,PRODUTIVO
31576,23981,25/8/2020,PRODUTIVO
5889,25720,18/10/2017,PRODUTIVO
1050,27359,27/6/2017,PRODUTIVO
649,29920,14/6/2017,PRODUTIVO
29489,30120,20/5/2020,PRODUTIVO
3168,30163,14/8/2017,PRODUTIVO
5429,31020,4/10/2017,PRODUTIVO
7562,31321,13/12/2017,PRODUTIVO
13958,32425,10/8/2018,PRODUTIVO
6751,32514,17/11/2017,PRODUTIVO
1342,33308,11/7/2017,PRODUTIVO
10877,33332,26/3/2018,PRODUTIVO
30583,33561,21/7/2020,PRODUTIVO
12010,33650,26/4/2018,PRODUTIVO
1034,33715,27/6/2017,PRODUTIVO
12330,33782,9/5/2018,PRODUTIVO
2358,33898,28/7/2017,PRODUTIVO
31454,33901,19/8/2020,PRODUTIVO
29670,33944,11/6/2020,PRODUTIVO
30489,33995,16/7/2020,DESATIVADO
6870,34053,23/11/2017,PRODUTIVO
40764,34061,2/9/2021,PRODUTIVO
29755,34088,19/6/2020,PRODUTIVO
12219,34126,4/5/2018,PRODUTIVO
1102,34142,29/6/2017,PRODUTIVO
10997,34177,28/3/2018,DESATIVADO
30384,34223,14/7/2020,PRODUTIVO
30385,34231,14/7/2020,PRODUTIVO
2329,34258,28/7/2017,PRODUTIVO
247,34274,6/6/2017,PRODUTIVO
31549,36692,24/8/2020,PRODUTIVO
29707,39608,17/6/2020,PRODUTIVO
31236,39853,10/8/2020,PRODUTIVO
29756,39969,19/6/2020,PRODUTIVO
15,41734,31/5/2017,PRODUTIVO
40299,41963,13/8/2021,PRODUTIVO
